company,year,event_date,date_type,source
IDFC First Bank,FY2023-24,2024-08-08,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol IDFCFIRSTB; NSE fy 2023-2024; submissionDate 08-Aug-2024; https://nsearchives.nseindia.com/corporate/IDFCFIRSTB_08082024111801_SE_Intimation_BRSR.pdf
ITC,FY2022-23,2023-07-11,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol ITC; NSE fy 2022-2023; submissionDate 11-Jul-2023; https://nsearchives.nseindia.com/corporate/null
ITC,FY2023-24,2024-06-28,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol ITC; NSE fy 2023-2024; submissionDate 28-Jun-2024; https://nsearchives.nseindia.com/corporate/ITC_28062024115927_SE_BRSR_.pdf
Indian Oil Corporation,FY2022-23,2023-08-04,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol IOC; NSE fy 2022-2023; submissionDate 04-Aug-2023; https://nsearchives.nseindia.com/corporate/IOC_04082023175432_IOC_BRSR_22_23_SE_S.pdf
Indian Oil Corporation,FY2023-24,2024-07-18,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol IOC; NSE fy 2023-2024; submissionDate 18-Jul-2024; https://nsearchives.nseindia.com/corporate/IOC_18072024191040_IOC_BRSR_23_24_S.pdf
Indus Towers,FY2022-23,2023-08-10,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol INDUSTOWER; NSE fy 2022-2023; submissionDate 10-Aug-2023; https://nsearchives.nseindia.com/corporate/BHARTIINFRATEL_10082023193546_SEIntimationNoticeARIndus09082023.pdf
Indus Towers,FY2023-24,2024-08-23,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol INDUSTOWER; NSE fy 2023-2024; submissionDate 23-Aug-2024; https://nsearchives.nseindia.com/corporate/BHARTIINFRATEL_23082024110514_SEIntimationBRSRFY24.pdf
IndusInd Bank,FY2022-23,2023-08-02,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol INDUSINDBK; NSE fy 2022-2023; submissionDate 02-Aug-2023; https://nsearchives.nseindia.com/corporate/INDUSINDBK1_02082023211200_SEintimationannualreport23f.pdf
IndusInd Bank,FY2023-24,2024-08-05,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol INDUSINDBK; NSE fy 2023-2024; submissionDate 05-Aug-2024; https://nsearchives.nseindia.com/corporate/INDUSINDBK3_05082024185052_SEIntimationforBRSR.pdf
Infosys,FY2022-23,2023-07-12,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol INFY; NSE fy 2022-2023; submissionDate 12-Jul-2023; https://nsearchives.nseindia.com/corporate/null
Infosys,FY2023-24,2024-06-06,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol INFY; NSE fy 2023-2024; submissionDate 06-Jun-2024; https://nsearchives.nseindia.com/corporate/Infosys_06062024192032_BRSRAR.pdf
JSW Steel,FY2022-23,2023-07-07,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol JSWSTEEL; NSE fy 2022-2023; submissionDate 07-Jul-2023; https://nsearchives.nseindia.com/corporate/null
JSW Steel,FY2023-24,2024-07-04,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol JSWSTEEL; NSE fy 2023-2024; submissionDate 04-Jul-2024; https://nsearchives.nseindia.com/corporate/Supriya_04072024205538_BRSRREPORT.pdf
Jindal Steel,FY2022-23,2023-09-11,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol JINDALSTEL; NSE fy 2022-2023; submissionDate 11-Sep-2023; https://nsearchives.nseindia.com/corporate/JINDALSTEL_11092023122320_BRSR.pdf
Jindal Steel,FY2023-24,2024-08-08,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol JINDALSTEL; NSE fy 2023-2024; submissionDate 08-Aug-2024; https://nsearchives.nseindia.com/corporate/JINDALSTEL_08082024192014_BRSRXBRL.pdf
Kotak Mahindra Bank,FY2022-23,2023-08-11,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol KOTAKBANK; NSE fy 2022-2023; submissionDate 11-Aug-2023; https://nsearchives.nseindia.com/corporate/KOTAKBANK1_11082023220547_BRSR2023.pdf
Kotak Mahindra Bank,FY2023-24,2024-07-29,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol KOTAKBANK; NSE fy 2023-2024; submissionDate 29-Jul-2024; https://nsearchives.nseindia.com/corporate/Akash_29072024200820_ARbrsr.pdf
LIC,FY2022-23,2023-08-22,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol LICI; NSE fy 2022-2023; submissionDate 22-Aug-2023; https://nsearchives.nseindia.com/corporate/LIC_BOARD_22082023172744_Business_Responsibility_and_Sustainability_Report_2022_23.pdf
LIC,FY2023-24,2024-07-29,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol LICI; NSE fy 2023-2024; submissionDate 29-Jul-2024; https://nsearchives.nseindia.com/corporate/LIC_BOARD_29072024191318_BRSR_FY24.pdf
LTIMindtree,FY2022-23,2023-06-28,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol LTIM; NSE fy 2022-2023; submissionDate 28-Jun-2023; https://nsearchives.nseindia.com/corporate/null
LTIMindtree,FY2023-24,2024-06-03,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol LTIM; NSE fy 2023-2024; submissionDate 03-Jun-2024; https://nsearchives.nseindia.com/corporate/LTI_03062024171500_LTIMindtreeIR202324BRSR.pdf
LTTS,FY2022-23,2023-06-24,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol LTTS; NSE fy 2022-2023; submissionDate 24-Jun-2023; https://nsearchives.nseindia.com/corporate/null
LTTS,FY2023-24,2024-06-04,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol LTTS; NSE fy 2023-2024; submissionDate 04-Jun-2024; https://nsearchives.nseindia.com/corporate/LTTS_04062024003657_BRSR_Report.pdf
Larsen & Toubro,FY2022-23,2023-07-17,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol LT; NSE fy 2022-2023; submissionDate 17-Jul-2023; https://nsearchives.nseindia.com/corporate/PAM_17072023210835_BRSRAGM2023.pdf
Larsen & Toubro,FY2023-24,2024-06-11,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol LT; NSE fy 2023-2024; submissionDate 11-Jun-2024; https://nsearchives.nseindia.com/corporate/PAM_11062024181407_BRSRAGM2024.pdf
Lupin,FY2022-23,2023-09-15,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol LUPIN; NSE fy 2022-2023; submissionDate 15-Sep-2023; https://nsearchives.nseindia.com/corporate/Lupin2_15092023111309_BRSR.pdf
Lupin,FY2023-24,2024-07-12,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol LUPIN; NSE fy 2023-2024; submissionDate 12-Jul-2024; https://nsearchives.nseindia.com/corporate/Lupin2_12072024165645_BRSR.pdf
Mahindra & Mahindra,FY2022-23,2023-07-03,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol M&M; NSE fy 2022-2023; submissionDate 03-Jul-2023; https://nsearchives.nseindia.com/corporate/null
Mahindra & Mahindra,FY2023-24,2024-06-29,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol M&M; NSE fy 2023-2024; submissionDate 29-Jun-2024; https://nsearchives.nseindia.com/corporate/ferozebaria_29062024195438_AnnualReportwithBRSR.pdf
Marico,FY2022-23,2023-07-13,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol MARICO; NSE fy 2022-2023; submissionDate 13-Jul-2023; https://nsearchives.nseindia.com/corporate/null
Marico,FY2023-24,2024-07-12,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol MARICO; NSE fy 2023-2024; submissionDate 12-Jul-2024; https://nsearchives.nseindia.com/corporate/marico_12072024191818_SEIntimationBRSR.pdf
Maruti Suzuki,FY2022-23,2023-08-10,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol MARUTI; NSE fy 2022-2023; submissionDate 10-Aug-2023; https://nsearchives.nseindia.com/corporate/MARUTIASHISH_10082023125205_BRSR.pdf
Maruti Suzuki,FY2023-24,2024-08-05,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol MARUTI; NSE fy 2023-2024; submissionDate 05-Aug-2024; https://nsearchives.nseindia.com/corporate/MARUTI_05082024110021_BRSR_PDF.pdf
Mphasis,FY2022-23,2023-06-27,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol MPHASIS; NSE fy 2022-2023; submissionDate 27-Jun-2023; https://nsearchives.nseindia.com/corporate/null
Mphasis,FY2023-24,2024-06-30,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol MPHASIS; NSE fy 2023-2024; submissionDate 30-Jun-2024; https://nsearchives.nseindia.com/corporate/MPHASIS_30062024115904_SubmissionofBRSRFY24.pdf
Muthoot Finance,FY2022-23,2023-09-07,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol MUTHOOTFIN; NSE fy 2022-2023; submissionDate 07-Sep-2023; https://nsearchives.nseindia.com/corporate/MUTHOOTFIN_07092023193915_BRSR_REPORT_FOR_FY_2023.pdf
Muthoot Finance,FY2023-24,2024-09-10,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol MUTHOOTFIN; NSE fy 2023-2024; submissionDate 10-Sep-2024; https://nsearchives.nseindia.com/corporate/MUTHOOTFIN_10092024134153_BRSRSigned.pdf
NALCO,FY2022-23,2023-09-26,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol NATIONALUM; NSE fy 2022-2023; submissionDate 26-Sep-2023; https://nsearchives.nseindia.com/corporate/bharatsahu_26092023143558_BRSR202223.pdf
NALCO,FY2023-24,2024-09-12,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol NATIONALUM; NSE fy 2023-2024; submissionDate 12-Sep-2024; https://nsearchives.nseindia.com/corporate/bharatsahu_12092024110118_LetterBRSR202324.pdf
NMDC,FY2022-23,2023-08-10,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol NMDC; NSE fy 2022-2023; submissionDate 10-Aug-2023; https://nsearchives.nseindia.com/corporate/NMDC_10082023190245_LtrBRSR2023.pdf
NMDC,FY2023-24,2024-09-12,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol NMDC; NSE fy 2023-2024; submissionDate 12-Sep-2024; https://nsearchives.nseindia.com/corporate/NMDC_12092024172453_NMDCBRSR2024.pdf
NTPC,FY2022-23,2023-08-28,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol NTPC; NSE fy 2022-2023; submissionDate 28-Aug-2023; https://nsearchives.nseindia.com/corporate/ntpcmanish_28082023143832_BRSR202223.pdf
NTPC,FY2023-24,2024-08-06,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol NTPC; NSE fy 2023-2024; submissionDate 06-Aug-2024; https://nsearchives.nseindia.com/corporate/NTPC1_06082024115916_NTPCSE_BRSR_2024.pdf
Nestle India,FY2022-23,,not_found,NSE BRSR feed queried for symbol NESTLEIND 01-04-2023..31-03-2025: no filing covering FY2022-2023
Nestle India,FY2023-24,2024-06-15,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol NESTLEIND; NSE fy 2023-2024; submissionDate 15-Jun-2024; https://nsearchives.nseindia.com/corporate/NESTLEIND2_15062024235300_BRSR.pdf
ONGC,FY2022-23,2023-08-23,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol ONGC; NSE fy 2022-2023; submissionDate 23-Aug-2023; https://nsearchives.nseindia.com/corporate/ONGC_23082023180511_BRSR2023.pdf
ONGC,FY2023-24,2024-08-07,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol ONGC; NSE fy 2023-2024; submissionDate 07-Aug-2024; https://nsearchives.nseindia.com/corporate/ONGC_07082024235412_BRSRSD.pdf
Oracle Financial,FY2022-23,2023-06-29,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol OFSS; NSE fy 2022-2023; submissionDate 29-Jun-2023; https://nsearchives.nseindia.com/corporate/null
Oracle Financial,FY2023-24,2024-06-26,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol OFSS; NSE fy 2023-2024; submissionDate 26-Jun-2024; https://nsearchives.nseindia.com/corporate/OFSS_26062024175823_LettertoSEBRSR2024.pdf
PNB,FY2022-23,2023-07-04,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol PNB; NSE fy 2022-2023; submissionDate 04-Jul-2023; https://nsearchives.nseindia.com/corporate/null
PNB,FY2023-24,2024-06-07,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol PNB; NSE fy 2023-2024; submissionDate 07-Jun-2024; https://nsearchives.nseindia.com/corporate/pnb2_07062024184028_BRSR202324_SE.pdf
Paytm,FY2022-23,2023-08-22,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol PAYTM; NSE fy 2022-2023; submissionDate 22-Aug-2023; https://nsearchives.nseindia.com/corporate/PAYTM_22082023101947_SELetter_BRSR.pdf
Paytm,FY2023-24,2024-08-21,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol PAYTM; NSE fy 2023-2024; submissionDate 21-Aug-2024; https://nsearchives.nseindia.com/corporate/PAYTM_21082024205622_Reg34BRSR.pdf
Persistent Systems,FY2022-23,2023-06-23,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol PERSISTENT; NSE fy 2022-2023; submissionDate 23-Jun-2023; https://nsearchives.nseindia.com/corporate/null
Persistent Systems,FY2023-24,2024-10-03,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol PERSISTENT; NSE fy 2023-2024; submissionDate 03-Oct-2024; https://nsearchives.nseindia.com/corporate/PERSISTENTUSER1_03102024181931_PersistentSystemsBRSRsubmissionsigned.pdf
Pidilite,FY2022-23,2023-07-14,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol PIDILITIND; NSE fy 2022-2023; submissionDate 14-Jul-2023; https://nsearchives.nseindia.com/corporate/null
Pidilite,FY2023-24,2024-07-12,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol PIDILITIND; NSE fy 2023-2024; submissionDate 12-Jul-2024; https://nsearchives.nseindia.com/corporate/Nisha_12072024165509_BRSR.pdf
PolicyBazaar,FY2022-23,2023-09-06,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol POLICYBZR; NSE fy 2022-2023; submissionDate 06-Sep-2023; https://nsearchives.nseindia.com/corporate/POLICYBZR_06092023180957_BRSRCovering.pdf
PolicyBazaar,FY2023-24,2024-09-05,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol POLICYBZR; NSE fy 2023-2024; submissionDate 05-Sep-2024; https://nsearchives.nseindia.com/corporate/POLICYBZR_05092024192519_POLICYBZR_BRSRCovering.pdf
Power Grid,FY2022-23,2023-08-09,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol POWERGRID; NSE fy 2022-2023; submissionDate 09-Aug-2023; https://nsearchives.nseindia.com/corporate/POWERGRID1_09082023183332_BRSR.pdf
Power Grid,FY2023-24,2024-08-06,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol POWERGRID; NSE fy 2023-2024; submissionDate 06-Aug-2024; https://nsearchives.nseindia.com/corporate/POWERGRID1_06082024164247_2BRSR.pdf
Reliance Industries,FY2022-23,2023-08-14,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol RELIANCE; NSE fy 2022-2023; submissionDate 14-Aug-2023; https://nsearchives.nseindia.com/corporate/kavinavora_14082023134408_BRSR_pdf.pdf
Reliance Industries,FY2023-24,2024-08-07,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol RELIANCE; NSE fy 2023-2024; submissionDate 07-Aug-2024; https://nsearchives.nseindia.com/corporate/kavinavora_07082024144352_SE_BRSR.pdf
SAIL,FY2022-23,2024-01-17,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol SAIL; NSE fy 2022-2023; submissionDate 17-Jan-2024; https://nsearchives.nseindia.com/corporate/SAIL_17012024154647_SAIL_AR202223.pdf
SAIL,FY2023-24,2024-09-04,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol SAIL; NSE fy 2023-2024; submissionDate 04-Sep-2024; https://nsearchives.nseindia.com/corporate/SAIL_04092024183554_BRSR_SAIL_202324.pdf
SBI,FY2022-23,2023-06-05,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol SBIN; NSE fy 2022-2023; submissionDate 05-Jun-2023; https://nsearchives.nseindia.com/corporate/null
SBI,FY2023-24,2024-05-27,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol SBIN; NSE fy 2023-2024; submissionDate 27-May-2024; https://nsearchives.nseindia.com/corporate/SBIN_27052024232750_BSE_NSE_BRSR_27052024.pdf
SBI Life,FY2022-23,2023-08-04,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol SBILIFE; NSE fy 2022-2023; submissionDate 04-Aug-2023; https://nsearchives.nseindia.com/corporate/SBILIFE_04082023200307_BRSR04082023.pdf
SBI Life,FY2023-24,2024-08-03,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol SBILIFE; NSE fy 2023-2024; submissionDate 03-Aug-2024; https://nsearchives.nseindia.com/corporate/Thanos_03082024163126_SEIntimation_BRSR_signed.pdf
Shree Cement,FY2022-23,2023-07-02,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol SHREECEM; NSE fy 2022-2023; submissionDate 02-Jul-2023; https://nsearchives.nseindia.com/corporate/null
Shree Cement,FY2023-24,2024-07-12,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol SHREECEM; NSE fy 2023-2024; submissionDate 12-Jul-2024; https://nsearchives.nseindia.com/corporate/SHREECEM_12072024182332_BSE_NSE_12_07_2024_BRSR.pdf
Shriram Finance,FY2022-23,2023-06-01,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol SHRIRAMFIN; NSE fy 2022-2023; submissionDate 01-Jun-2023; https://nsearchives.nseindia.com/corporate/null
Shriram Finance,FY2023-24,2024-07-09,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol SHRIRAMFIN; NSE fy 2023-2024; submissionDate 09-Jul-2024; https://nsearchives.nseindia.com/corporate/Mathew_09072024102107_NSEBSE060724BRSR.pdf
Siemens India,FY2022-23,2024-01-18,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol SIEMENS; NSE fy 2022-2023; submissionDate 18-Jan-2024; https://nsearchives.nseindia.com/corporate/SIEMENS_18012024101155_Siemens_BRSR_2023.pdf
Siemens India,FY2023-24,2025-01-14,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol SIEMENS; NSE fy 2023-2024; submissionDate 14-Jan-2025; https://nsearchives.nseindia.com/corporate/SIEMENS57_14012025173818_Siemens-Limited-BRSR-2024.pdf
Sun Pharma,FY2022-23,2023-07-30,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol SUNPHARMA; NSE fy 2022-2023; submissionDate 30-Jul-2023; https://nsearchives.nseindia.com/corporate/SUNHARSH_30072023183907_BRSRStockExchange.pdf
Sun Pharma,FY2023-24,2024-07-09,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol SUNPHARMA; NSE fy 2023-2024; submissionDate 09-Jul-2024; https://nsearchives.nseindia.com/corporate/SUNSEC_09072024114223_BRSR2024.pdf
TCS,FY2022-23,2023-06-07,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol TCS; NSE fy 2022-2023; submissionDate 07-Jun-2023; https://nsearchives.nseindia.com/corporate/null
TCS,FY2023-24,2024-06-12,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol TCS; NSE fy 2023-2024; submissionDate 12-Jun-2024; https://nsearchives.nseindia.com/corporate/TCS_CORPCS_12062024193403_SEIntBRSRsigned.pdf
TVS Motor,FY2022-23,2023-06-28,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol TVSMOTOR; NSE fy 2022-2023; submissionDate 28-Jun-2023; https://nsearchives.nseindia.com/corporate/null
TVS Motor,FY2023-24,2024-07-12,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol TVSMOTOR; NSE fy 2023-2024; submissionDate 12-Jul-2024; https://nsearchives.nseindia.com/corporate/TVSMOTOR_12072024230439_NSEBSEBRSRSD.pdf
Tata Consumer,FY2022-23,2023-05-23,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol TATACONSUM; NSE fy 2022-2023; submissionDate 23-May-2023; https://nsearchives.nseindia.com/corporate/null
Tata Consumer,FY2023-24,2024-05-22,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol TATACONSUM; NSE fy 2023-2024; submissionDate 22-May-2024; https://nsearchives.nseindia.com/corporate/Madhur_22052024152833_3TCPL_BRSRIntimation_210524_sd.pdf
Tata Motors,FY2022-23,2023-07-15,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol TATAMOTORS; NSE fy 2022-2023; submissionDate 15-Jul-2023; https://nsearchives.nseindia.com/corporate/TATAMOTORSSJS_15072023124037_BRSR.pdf
Tata Motors,FY2023-24,2024-05-31,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol TATAMOTORS; NSE fy 2023-2024; submissionDate 31-May-2024; https://nsearchives.nseindia.com/corporate/TATAMOTORSSJS_31052024155411_NSEBSELETTERBRSR.pdf
Tata Power,FY2022-23,2023-05-27,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol TATAPOWER; NSE fy 2022-2023; submissionDate 27-May-2023; https://nsearchives.nseindia.com/corporate/null
Tata Power,FY2023-24,2024-06-21,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol TATAPOWER; NSE fy 2023-2024; submissionDate 21-Jun-2024; https://nsearchives.nseindia.com/corporate/VPTPCL_21062024195603_brsrcovering.pdf
Tata Steel,FY2022-23,2023-06-15,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol TATASTEEL; NSE fy 2022-2023; submissionDate 15-Jun-2023; https://nsearchives.nseindia.com/corporate/null
Tata Steel,FY2023-24,2024-06-24,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol TATASTEEL; NSE fy 2023-2024; submissionDate 24-Jun-2024; https://nsearchives.nseindia.com/corporate/SAKSHIKAPUR_24062024111447_BRSRNSEBSE.pdf
Tech Mahindra,FY2022-23,2023-09-12,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol TECHM; NSE fy 2022-2023; submissionDate 12-Sep-2023; https://nsearchives.nseindia.com/corporate/TECH_KETAKI_12092023153605_TML_BRSR2022_23.pdf
Tech Mahindra,FY2023-24,2024-07-03,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol TECHM; NSE fy 2023-2024; submissionDate 03-Jul-2024; https://nsearchives.nseindia.com/corporate/TECHM_03072024154611_SEintimationBRSRFY24S.pdf
Titan,FY2022-23,2023-08-30,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol TITAN; NSE fy 2022-2023; submissionDate 30-Aug-2023; https://nsearchives.nseindia.com/corporate/TITAN_30082023092731_BusinessResponsibilityandSustainabilityReporting.pdf
Titan,FY2023-24,2024-06-18,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol TITAN; NSE fy 2023-2024; submissionDate 18-Jun-2024; https://nsearchives.nseindia.com/corporate/TITAN_18062024233749_SEBRSreport.pdf
Torrent Pharma,FY2022-23,2023-07-15,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol TORNTPHARM; NSE fy 2022-2023; submissionDate 15-Jul-2023; https://nsearchives.nseindia.com/corporate/TORNTPHARM_15072023092648_BRSRSEs2023.pdf
Torrent Pharma,FY2023-24,2024-06-29,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol TORNTPHARM; NSE fy 2023-2024; submissionDate 29-Jun-2024; https://nsearchives.nseindia.com/corporate/TORNTPHARM_29062024193555_SEIntimationSubmissionofBRSR2024.pdf
UltraTech Cement,FY2022-23,2023-07-19,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol ULTRACEMCO; NSE fy 2022-2023; submissionDate 19-Jul-2023; https://nsearchives.nseindia.com/corporate/ULTRACEMCO_19072023201741_SEBRSR.pdf
UltraTech Cement,FY2023-24,2024-07-22,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol ULTRACEMCO; NSE fy 2023-2024; submissionDate 22-Jul-2024; https://nsearchives.nseindia.com/corporate/ULTRACEMCO_22072024225320_BRSRSE_signed.pdf
Vedanta Limited,FY2022-23,2023-06-20,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol VEDL; NSE fy 2022-2023; submissionDate 20-Jun-2023; https://nsearchives.nseindia.com/corporate/null
Vedanta Limited,FY2023-24,2024-06-19,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol VEDL; NSE fy 2023-2024; submissionDate 19-Jun-2024; https://nsearchives.nseindia.com/corporate/VEDL_19062024152424_VEDLSEIntimationBRSR2024signed.pdf
Vodafone Idea,FY2022-23,2023-06-25,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol IDEA; NSE fy 2022-2023; submissionDate 25-Jun-2023; https://nsearchives.nseindia.com/corporate/null
Vodafone Idea,FY2023-24,2024-08-05,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol IDEA; NSE fy 2023-2024; submissionDate 05-Aug-2024; https://nsearchives.nseindia.com/corporate/IDEA_05082024225109_BRSRsigned.pdf
Wipro,FY2022-23,2023-07-27,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol WIPRO; NSE fy 2022-2023; submissionDate 27-Jul-2023; https://nsearchives.nseindia.com/corporate/Cslogin_27072023191657_BRSR_fY23.pdf
Wipro,FY2023-24,2024-06-24,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol WIPRO; NSE fy 2023-2024; submissionDate 24-Jun-2024; https://nsearchives.nseindia.com/corporate/Wipro_Secretarial_24062024203244_SEIntimationBRSR.pdf
