company,year,event_date,date_type,source
Asian Paints,FY2023-24,2024-05-31,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol ASIANPAINT; NSE fy 2023-2024; submissionDate 31-May-2024; https://nsearchives.nseindia.com/corporate/ASIANPAINT_31052024190858_SEIntimationBRSRFilingfinalsigned.pdf
Aurobindo Pharma,FY2022-23,2023-08-11,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol AUROPHARMA; NSE fy 2022-2023; submissionDate 11-Aug-2023; https://nsearchives.nseindia.com/corporate/AUROPHARMA_11082023152529_AurobindoPharmaBRSR010823.pdf
Aurobindo Pharma,FY2023-24,2024-08-05,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol AUROPHARMA; NSE fy 2023-2024; submissionDate 05-Aug-2024; https://nsearchives.nseindia.com/corporate/AUROPHARMA_05082024190709_LtrToSEsBRSR0582024.pdf
Axis Bank,FY2022-23,2023-08-02,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol AXISBANK; NSE fy 2022-2023; submissionDate 02-Aug-2023; https://nsearchives.nseindia.com/corporate/AXISBANK1_02082023213002_Notice_BRSR_AR.pdf
Axis Bank,FY2023-24,2024-07-02,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol AXISBANK; NSE fy 2023-2024; submissionDate 02-Jul-2024; https://nsearchives.nseindia.com/corporate/AXISBANK1_02072024133842_SEIntimationBRSR.pdf
BPCL,FY2022-23,2023-08-03,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol BPCL; NSE fy 2022-2023; submissionDate 03-Aug-2023; https://nsearchives.nseindia.com/corporate/BPCL22_03082023165529_stexchbrsr1cssigned.pdf
BPCL,FY2023-24,2024-08-08,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol BPCL; NSE fy 2023-2024; submissionDate 08-Aug-2024; https://nsearchives.nseindia.com/corporate/BPCL22_08082024183607_1stexchbrsr1.pdf
BSE Ltd,FY2022-23,2023-08-07,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol BSE; NSE fy 2022-2023; submissionDate 07-Aug-2023; https://nsearchives.nseindia.com/corporate/BSE_07082023160852_BRSR.pdf
BSE Ltd,FY2023-24,2024-06-20,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol BSE; NSE fy 2023-2024; submissionDate 20-Jun-2024; https://nsearchives.nseindia.com/corporate/BSE_20062024151526_BRSR2324.pdf
Bajaj Auto,FY2022-23,2023-07-04,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol BAJAJ-AUTO; NSE fy 2022-2023; submissionDate 04-Jul-2023; https://nsearchives.nseindia.com/corporate/null
Bajaj Auto,FY2023-24,2024-06-21,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol BAJAJ-AUTO; NSE fy 2023-2024; submissionDate 21-Jun-2024; https://nsearchives.nseindia.com/corporate/lkwalimbe_bajajauto_co_in_21062024190847_BRSR.pdf
Bajaj Finance,FY2022-23,2023-07-05,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol BAJFINANCE; NSE fy 2022-2023; submissionDate 05-Jul-2023; https://nsearchives.nseindia.com/corporate/null
Bajaj Finance,FY2023-24,2024-06-27,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol BAJFINANCE; NSE fy 2023-2024; submissionDate 27-Jun-2024; https://nsearchives.nseindia.com/corporate/BAJFINANCE_27062024113554_BSENSE_BRSR_Intimation_FY24_Final.pdf
Bajaj Finserv,FY2022-23,2023-07-10,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol BAJAJFINSV; NSE fy 2022-2023; submissionDate 10-Jul-2023; https://nsearchives.nseindia.com/corporate/null
Bajaj Finserv,FY2023-24,2024-06-28,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol BAJAJFINSV; NSE fy 2023-2024; submissionDate 28-Jun-2024; https://nsearchives.nseindia.com/corporate/walimbelk_28062024180704_BFSSELetterBRSRFY2024uploading.pdf
Bank of Baroda,FY2022-23,2023-06-14,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol BANKBARODA; NSE fy 2022-2023; submissionDate 14-Jun-2023; https://nsearchives.nseindia.com/corporate/null
Bank of Baroda,FY2023-24,2024-06-11,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol BANKBARODA; NSE fy 2023-2024; submissionDate 11-Jun-2024; https://nsearchives.nseindia.com/corporate/BANKBARODA_11062024131139_NSEBRSR1006.pdf
Bharti Airtel,FY2022-23,2023-08-03,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol BHARTIARTL; NSE fy 2022-2023; submissionDate 03-Aug-2023; https://nsearchives.nseindia.com/corporate/BHARTIARTL_03082023234100_BRSRPdf.pdf
Bharti Airtel,FY2023-24,2024-07-30,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol BHARTIARTL; NSE fy 2023-2024; submissionDate 30-Jul-2024; https://nsearchives.nseindia.com/corporate/BHARTIARTL_30072024193008_SignedSTXIntimationBRSR.pdf
Biocon,FY2022-23,2023-08-09,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol BIOCON; NSE fy 2022-2023; submissionDate 09-Aug-2023; https://nsearchives.nseindia.com/corporate/Bioconlimited_09082023183254_BRSR2023.pdf
Biocon,FY2023-24,2024-07-18,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol BIOCON; NSE fy 2023-2024; submissionDate 18-Jul-2024; https://nsearchives.nseindia.com/corporate/BioconLtd_18072024220510_Biocon_AGM_Intimation_SEs.pdf
Bosch India,FY2022-23,2023-07-10,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol BOSCHLTD; NSE fy 2022-2023; submissionDate 10-Jul-2023; https://nsearchives.nseindia.com/corporate/null
Bosch India,FY2023-24,2024-07-10,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol BOSCHLTD; NSE fy 2023-2024; submissionDate 10-Jul-2024; https://nsearchives.nseindia.com/corporate/BOSCHLTD2024_10072024164042_LettertoSEBRSR2024.pdf
Britannia,FY2022-23,2023-08-03,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol BRITANNIA; NSE fy 2022-2023; submissionDate 03-Aug-2023; https://nsearchives.nseindia.com/corporate/BRITANNIA1_03082023000333_IntimationOfBRSR.pdf
Britannia,FY2023-24,2024-07-19,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol BRITANNIA; NSE fy 2023-2024; submissionDate 19-Jul-2024; https://nsearchives.nseindia.com/corporate/BRITANNIA1_19072024002136_BRSR_Signed.pdf
CDSL,FY2022-23,2023-09-18,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol CDSL; NSE fy 2022-2023; submissionDate 18-Sep-2023; https://nsearchives.nseindia.com/corporate/CDSL_18092023133045_SENoticeBRSR.pdf
CDSL,FY2023-24,2024-07-26,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol CDSL; NSE fy 2023-2024; submissionDate 26-Jul-2024; https://nsearchives.nseindia.com/corporate/CDSL_26072024145355_BRSRSEIntimaitonNSE26072024.pdf
Cholamandalam,FY2022-23,2023-07-10,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol CHOLAFIN; NSE fy 2022-2023; submissionDate 10-Jul-2023; https://nsearchives.nseindia.com/corporate/null
Cholamandalam,FY2023-24,2024-07-04,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol CHOLAFIN; NSE fy 2023-2024; submissionDate 04-Jul-2024; https://nsearchives.nseindia.com/corporate/lakshmits_04072024235557_SE_LetterBRSR_report_2024.pdf
