company,ticker,date,close,daily_return
ABB India,ABB.NS,2021-04-01,1397.5,
ABB India,ABB.NS,2021-04-05,1382.199951171875,-0.010948
ABB India,ABB.NS,2021-04-06,1374.449951171875,-0.005607
ABB India,ABB.NS,2021-04-07,1375.0,0.0004
ABB India,ABB.NS,2021-04-08,1396.300048828125,0.015491
ABB India,ABB.NS,2021-04-09,1380.4000244140625,-0.011387
ABB India,ABB.NS,2021-04-12,1309.449951171875,-0.051398
ABB India,ABB.NS,2021-04-13,1319.5999755859375,0.007751
ABB India,ABB.NS,2021-04-15,1349.449951171875,0.02262
ABB India,ABB.NS,2021-04-16,1371.3499755859375,0.016229
ABB India,ABB.NS,2021-04-19,1395.1500244140625,0.017355
ABB India,ABB.NS,2021-04-20,1395.4000244140625,0.000179
ABB India,ABB.NS,2021-04-22,1391.6500244140625,-0.002687
ABB India,ABB.NS,2021-04-23,1380.699951171875,-0.007868
ABB India,ABB.NS,2021-04-26,1369.0999755859375,-0.008402
ABB India,ABB.NS,2021-04-27,1384.3499755859375,0.011139
ABB India,ABB.NS,2021-04-28,1387.9000244140625,0.002564
ABB India,ABB.NS,2021-04-29,1381.300048828125,-0.004755
ABB India,ABB.NS,2021-04-30,1381.25,-3.6e-05
ABB India,ABB.NS,2021-05-03,1392.0,0.007783
ABB India,ABB.NS,2021-05-04,1377.449951171875,-0.010453
ABB India,ABB.NS,2021-05-05,1370.6500244140625,-0.004937
ABB India,ABB.NS,2021-05-06,1380.5999755859375,0.007259
ABB India,ABB.NS,2021-05-07,1371.949951171875,-0.006265
ABB India,ABB.NS,2021-05-10,1375.3499755859375,0.002478
ABB India,ABB.NS,2021-05-11,1368.8499755859375,-0.004726
ABB India,ABB.NS,2021-05-12,1401.9000244140625,0.024144
ABB India,ABB.NS,2021-05-14,1391.800048828125,-0.007204
ABB India,ABB.NS,2021-05-17,1420.75,0.0208
ABB India,ABB.NS,2021-05-18,1449.8499755859375,0.020482
ABB India,ABB.NS,2021-05-19,1450.199951171875,0.000241
ABB India,ABB.NS,2021-05-20,1429.25,-0.014446
ABB India,ABB.NS,2021-05-21,1433.0999755859375,0.002694
ABB India,ABB.NS,2021-05-24,1475.699951171875,0.029726
ABB India,ABB.NS,2021-05-25,1495.6500244140625,0.013519
ABB India,ABB.NS,2021-05-26,1501.3499755859375,0.003811
ABB India,ABB.NS,2021-05-27,1579.25,0.051887
ABB India,ABB.NS,2021-05-28,1588.75,0.006016
ABB India,ABB.NS,2021-05-31,1668.8499755859375,0.050417
ABB India,ABB.NS,2021-06-01,1693.25,0.014621
ABB India,ABB.NS,2021-06-02,1700.550048828125,0.004311
ABB India,ABB.NS,2021-06-03,1691.949951171875,-0.005057
ABB India,ABB.NS,2021-06-04,1650.5,-0.024498
ABB India,ABB.NS,2021-06-07,1685.6500244140625,0.021297
ABB India,ABB.NS,2021-06-08,1680.25,-0.003204
ABB India,ABB.NS,2021-06-09,1674.8499755859375,-0.003214
ABB India,ABB.NS,2021-06-10,1671.3499755859375,-0.00209
ABB India,ABB.NS,2021-06-11,1648.550048828125,-0.013642
ABB India,ABB.NS,2021-06-14,1660.5999755859375,0.007309
ABB India,ABB.NS,2021-06-15,1693.949951171875,0.020083
ABB India,ABB.NS,2021-06-16,1720.300048828125,0.015555
ABB India,ABB.NS,2021-06-17,1716.5,-0.002209
ABB India,ABB.NS,2021-06-18,1743.449951171875,0.015701
ABB India,ABB.NS,2021-06-21,1719.4000244140625,-0.013794
ABB India,ABB.NS,2021-06-22,1739.25,0.011545
ABB India,ABB.NS,2021-06-23,1806.550048828125,0.038695
ABB India,ABB.NS,2021-06-24,1809.449951171875,0.001605
ABB India,ABB.NS,2021-06-25,1824.050048828125,0.008069
ABB India,ABB.NS,2021-06-28,1809.800048828125,-0.007812
ABB India,ABB.NS,2021-06-29,1788.8499755859375,-0.011576
ABB India,ABB.NS,2021-06-30,1808.199951171875,0.010817
ABB India,ABB.NS,2021-07-01,1793.699951171875,-0.008019
ABB India,ABB.NS,2021-07-02,1787.1500244140625,-0.003652
ABB India,ABB.NS,2021-07-05,1773.75,-0.007498
ABB India,ABB.NS,2021-07-06,1757.75,-0.00902
ABB India,ABB.NS,2021-07-07,1742.0999755859375,-0.008903
ABB India,ABB.NS,2021-07-08,1703.25,-0.022301
ABB India,ABB.NS,2021-07-09,1713.449951171875,0.005989
ABB India,ABB.NS,2021-07-12,1725.949951171875,0.007295
ABB India,ABB.NS,2021-07-13,1787.050048828125,0.035401
ABB India,ABB.NS,2021-07-14,1805.5,0.010324
ABB India,ABB.NS,2021-07-15,1779.050048828125,-0.01465
ABB India,ABB.NS,2021-07-16,1763.199951171875,-0.008909
ABB India,ABB.NS,2021-07-19,1738.800048828125,-0.013838
ABB India,ABB.NS,2021-07-20,1719.0,-0.011387
ABB India,ABB.NS,2021-07-22,1711.0999755859375,-0.004596
ABB India,ABB.NS,2021-07-23,1695.800048828125,-0.008942
ABB India,ABB.NS,2021-07-26,1712.300048828125,0.00973
ABB India,ABB.NS,2021-07-27,1669.1500244140625,-0.0252
ABB India,ABB.NS,2021-07-28,1699.050048828125,0.017913
ABB India,ABB.NS,2021-07-29,1686.5,-0.007387
ABB India,ABB.NS,2021-07-30,1699.1500244140625,0.007501
ABB India,ABB.NS,2021-08-02,1683.449951171875,-0.00924
ABB India,ABB.NS,2021-08-03,1670.699951171875,-0.007574
ABB India,ABB.NS,2021-08-04,1636.449951171875,-0.0205
ABB India,ABB.NS,2021-08-05,1666.3499755859375,0.018271
ABB India,ABB.NS,2021-08-06,1663.8499755859375,-0.0015
ABB India,ABB.NS,2021-08-09,1644.25,-0.01178
ABB India,ABB.NS,2021-08-10,1650.9000244140625,0.004044
ABB India,ABB.NS,2021-08-11,1674.550048828125,0.014326
ABB India,ABB.NS,2021-08-12,1718.3499755859375,0.026156
ABB India,ABB.NS,2021-08-13,1747.949951171875,0.017226
