company,year,LPS_finbert,OPS,zLPS,zOPS,GDS
Eicher Motors,FY2023-24,0.06636,0.065017,0.769786,0.027066,0.74272
Emami,FY2022-23,0.04965,0.646486,0.373737,1.007653,-0.633916
Emami,FY2023-24,0.07001,0.656084,0.886894,1.061189,-0.174294
Escorts Kubota,FY2022-23,0.015789,0.188999,-0.758874,0.249207,-1.008081
Escorts Kubota,FY2023-24,0.027814,0.454044,-0.467059,0.707702,-1.174761
Federal Bank,FY2022-23,0.006188,0.332617,-1.080038,0.487304,-1.567342
Federal Bank,FY2023-24,0.043161,0.286753,0.025389,0.415012,-0.389623
Godrej Consumer,FY2023-24,0.038026,0.14511,-0.13939,0.167195,-0.306585
Grasim Industries,FY2022-23,0.064144,-0.495944,0.858567,-0.886329,1.744896
Grasim Industries,FY2023-24,0.056382,-0.397814,0.449625,-0.782698,1.232323
HCL Technologies,FY2022-23,0.054771,0.649672,0.545046,1.012935,-0.46789
HCL Technologies,FY2023-24,-0.008302,0.511779,-1.625946,0.808715,-2.434661
HDFC Bank,FY2022-23,0.019938,-0.09573,-0.620117,-0.222833,-0.397285
HDFC Bank,FY2023-24,0.049939,-0.119132,0.24286,-0.295119,0.537979
HDFC Life,FY2022-23,0.015097,0.160458,-0.78203,0.20189,-0.983921
HDFC Life,FY2023-24,0.031674,0.135858,-0.343211,0.151008,-0.494219
Havells,FY2022-23,0.062288,0.079464,0.796481,0.067613,0.728868
Havells,FY2023-24,0.068982,-0.042783,0.853936,-0.16154,1.015476
Hero MotoCorp,FY2022-23,0.045709,0.008698,0.241926,-0.049705,0.291631
Hero MotoCorp,FY2023-24,0.020627,-0.068239,-0.697664,-0.206077,-0.491587
Hindalco Industries,FY2022-23,0.017868,-0.699905,-0.689333,-1.224466,0.535133
Hindalco Industries,FY2023-24,0.012716,-0.530979,-0.951519,-1.015682,0.064163
Hindustan Unilever,FY2022-23,0.124267,0.662719,2.869635,1.034565,1.835069
Hindustan Unilever,FY2023-24,0.127398,0.584292,2.72836,0.935582,1.792778
ICICI Bank,FY2022-23,0.010867,0.051709,-0.923522,0.021599,-0.945122
ICICI Bank,FY2023-24,0.000496,0.183413,-1.343638,0.23421,-1.577847
ICICI Lombard,FY2023-24,0.095544,0.823728,1.706249,1.354497,0.351752
IDFC First Bank,FY2022-23,0.012847,0.186999,-0.857292,0.24589,-1.103183
IDFC First Bank,FY2023-24,-0.012486,0.147618,-1.760191,0.171583,-1.931774
ITC,FY2022-23,0.073715,-0.004624,1.178712,-0.071792,1.250504
ITC,FY2023-24,0.067303,-0.007227,0.800052,-0.099332,0.899384
Indian Oil Corporation,FY2022-23,0.020979,-1.552004,-0.585283,-2.637122,2.051839
Indian Oil Corporation,FY2023-24,0.016474,-1.629927,-0.830941,-2.938387,2.107446
Indus Towers,FY2022-23,0.071533,-0.652653,1.105705,-1.14613,2.251835
Indus Towers,FY2023-24,0.115795,-0.670622,2.356042,-1.259999,3.616042
IndusInd Bank,FY2022-23,0.033086,0.162908,-0.180304,0.205951,-0.386255
IndusInd Bank,FY2023-24,0.003907,0.21122,-1.234173,0.282861,-1.517034
Infosys,FY2022-23,0.036281,0.637559,-0.073452,0.992853,-1.066305
Infosys,FY2023-24,0.015052,0.587595,-0.876574,0.941362,-1.817936
JSW Steel,FY2022-23,0.038995,-1.285844,0.01734,-2.195868,2.213208
JSW Steel,FY2023-24,0.050554,-1.024183,0.262607,-1.878585,2.141192
Jindal Steel,FY2022-23,0.03724,-0.236874,-0.041369,-0.456829,0.41546
Jindal Steel,FY2023-24,0.107735,-0.295372,2.097408,-0.603467,2.700875
Kotak Mahindra Bank,FY2022-23,0.027575,0.153181,-0.364668,0.189826,-0.554494
Kotak Mahindra Bank,FY2023-24,0.019337,0.333897,-0.73907,0.497494,-1.236564
LIC,FY2022-23,0.017537,0.949703,-0.700419,1.510343,-2.210762
