company,year,event_date,GDS,AR_0,CAR_m1_p1,CAR_0_p1,CAR_0_p5,CAR_m5_p5,CAR_m5_p20,log_mcap,leverage,sector
CDSL,FY2022-23,2023-09-18,-0.478379,-0.007134582098659377,-0.002040883472638759,-0.015408085041445977,0.012717206686214162,0.058139713327200956,0.08219529692098791,25.276768,0.001627,Financial Services
CDSL,FY2023-24,2024-07-26,-1.656156,-0.009301198573675899,-0.00443966849710413,-0.016669075859838515,-0.012023171892188756,0.0323156381183327,0.23111274464937515,25.910086,0.000761,Financial Services
Cholamandalam,FY2022-23,2023-07-10,-1.970778,-0.02209911097665505,-0.029436671740844664,-0.04652450077755635,-0.03795577455858784,-0.02290878675412119,-0.1325125033124673,27.162328,0.858286,Financial Services
Cholamandalam,FY2023-24,2024-07-04,-0.83074,-0.01247506429587989,0.007964697757244425,-0.00897743719042793,-0.02895496691422899,-0.044505665458122796,-0.0701295259292633,27.602115,0.860622,Financial Services
Cipla,FY2022-23,2023-07-18,-1.309779,-0.0019093084298085832,0.00011994975063014642,0.0009741475738820427,0.020124929922953644,0.027905205624226034,0.1976998484534692,27.311971,0.027258,Pharma
Cipla,FY2023-24,2024-07-26,-1.480859,0.04498148743284344,0.025714244291405054,0.029303204306621308,0.009168156491258227,0.00103330293031453,0.020396056323231243,27.820474,0.017098,Pharma
Coal India,FY2022-23,2023-08-11,2.408625,0.0030984459013656384,0.003251023434407291,0.00014884790804942528,-0.01732126305320823,-0.0031970048493932925,0.16160195264116442,27.906125,0.019473,Energy
Coal India,FY2023-24,2024-07-29,2.10872,-0.00374440267256835,0.010468033162727236,0.005905488065320219,0.040325614855462176,0.04797786668125594,0.006091538343944224,28.61506,0.027445,Energy
Coforge,FY2022-23,2023-10-27,-0.854974,0.005184867044770974,0.010988033789944522,-0.004060702068303843,-0.0011102451319074088,0.013370322892537097,0.043799415456743845,26.174271,0.09892,IT
Coforge,FY2023-24,2024-08-01,-1.070147,-0.002236941707488807,-0.030842405572787043,-0.026581316499931423,-0.046065933590397234,-0.07173045588121373,-0.024295232457498248,26.552702,0.118866,IT
