company,ticker,year,market_cap,log_market_cap,total_debt,total_assets,leverage,source_year
Bajaj Finserv,BAJAJFINSV.NS,FY2023-24,2620507854159.9,28.594389,2287817000000.0,5379296300000.0,0.4253,mcap=2024-03-28;bs=2024-03-31
Bank of Baroda,BANKBARODA.NS,FY2022-23,873184535487.64,27.495413,1054811554000.0,15258789729000.0,0.069128,mcap=2023-03-31;bs=2023-03-31
Bank of Baroda,BANKBARODA.NS,FY2023-24,1365498120237.97,27.94254,930891013000.0,16547793845000.0,0.056255,mcap=2024-03-28;bs=2024-03-31
Bharti Airtel,BHARTIARTL.NS,FY2022-23,4467411675930.0,29.12783,2260203000000.0,4466332000000.0,0.506054,mcap=2023-03-31;bs=2023-03-31
Bharti Airtel,BHARTIARTL.NS,FY2023-24,7425973637740.94,29.636005,2155923000000.0,4445310000000.0,0.484988,mcap=2024-03-28;bs=2024-03-31
Biocon,BIOCON.NS,FY2022-23,246379375785.72,26.230138,180188000000.0,520428000000.0,0.34623,mcap=2023-03-31;bs=2023-03-31
Biocon,BIOCON.NS,FY2023-24,316136028690.58,26.479438,162767000000.0,560707000000.0,0.290289,mcap=2024-03-28;bs=2024-03-31
Bosch India,BOSCHLTD.NS,FY2022-23,571288868956.95,27.071161,532000000.0,162523000000.0,0.003273,mcap=2023-03-31;bs=2023-03-31
Bosch India,BOSCHLTD.NS,FY2023-24,885732373973.91,27.509681,393000000.0,173485000000.0,0.002265,mcap=2024-03-28;bs=2024-03-31
Britannia,BRITANNIA.NS,FY2022-23,1041068882034.11,27.671269,30076200000.0,93527200000.0,0.321577,mcap=2023-03-31;bs=2023-03-31
Britannia,BRITANNIA.NS,FY2023-24,1182964418730.0,27.799045,20746300000.0,90735600000.0,0.228646,mcap=2024-03-28;bs=2024-03-31
CDSL,CDSL.NS,FY2022-23,94964375000.0,25.276768,23705000.0,14571700000.0,0.001627,mcap=2023-03-31;bs=2023-03-31
CDSL,CDSL.NS,FY2023-24,178898769897.46,25.910086,13558000.0,17816493000.0,0.000761,mcap=2024-03-28;bs=2024-03-31
Cholamandalam,CHOLAFIN.NS,FY2022-23,625819312988.13,27.162328,975243900000.0,1136269000000.0,0.858286,mcap=2023-03-31;bs=2023-03-31
Cholamandalam,CHOLAFIN.NS,FY2023-24,971508080942.15,27.602115,1348477800000.0,1566864100000.0,0.860622,mcap=2024-03-28;bs=2024-03-31
Cipla,CIPLA.NS,FY2022-23,726839108996.5,27.311971,8031200000.0,294632800000.0,0.027258,mcap=2023-03-31;bs=2023-03-31
Cipla,CIPLA.NS,FY2023-24,1208588084038.68,27.820474,5594100000.0,327178200000.0,0.017098,mcap=2024-03-28;bs=2024-03-31
Coal India,COALINDIA.NS,FY2022-23,1316666869449.24,27.906125,43314200000.0,2224306600000.0,0.019473,mcap=2023-03-31;bs=2023-03-31
Coal India,COALINDIA.NS,FY2023-24,2675240404365.01,28.61506,65230300000.0,2376722600000.0,0.027445,mcap=2024-03-28;bs=2024-03-31
Coforge,COFORGE.NS,FY2022-23,232992234065.08,26.174271,5622000000.0,56834000000.0,0.09892,mcap=2023-03-31;bs=2023-03-31
Coforge,COFORGE.NS,FY2023-24,340166914411.8,26.552702,7260000000.0,61077000000.0,0.118866,mcap=2024-03-28;bs=2024-03-31
Colgate India,COLPAL.NS,FY2022-23,409977538769.63,26.739368,689615000.0,28829893000.0,0.02392,mcap=2023-03-31;bs=2023-03-31
Colgate India,COLPAL.NS,FY2023-24,737176289673.0,27.326093,717500000.0,31965300000.0,0.022446,mcap=2024-03-28;bs=2024-03-31
Cummins India,CUMMINSIND.NS,FY2022-23,451725113232.42,26.83634,3760900000.0,79186400000.0,0.047494,mcap=2023-03-31;bs=2023-03-31
Cummins India,CUMMINSIND.NS,FY2023-24,833332500000.0,27.448699,1269800000.0,89705100000.0,0.014155,mcap=2024-03-28;bs=2024-03-31
Dabur,DABUR.NS,FY2022-23,965433954789.54,27.595844,11737900000.0,136543700000.0,0.085964,mcap=2023-03-31;bs=2023-03-31
Dabur,DABUR.NS,FY2023-24,927042330862.97,27.555265,13650900000.0,151226800000.0,0.090268,mcap=2024-03-28;bs=2024-03-31
Divi's Labs,DIVISLAB.NS,FY2022-23,749510741267.67,27.342686,40000000.0,144390000000.0,0.000277,mcap=2023-03-31;bs=2023-03-31
Divi's Labs,DIVISLAB.NS,FY2023-24,914618911636.33,27.541773,30000000.0,154700000000.0,0.000194,mcap=2024-03-28;bs=2024-03-31
Dr Reddy's,DRREDDY.NS,FY2022-23,768101022711.6,27.367187,13472000000.0,321854000000.0,0.041857,mcap=2023-03-31;bs=2023-03-31
Dr Reddy's,DRREDDY.NS,FY2023-24,1025465659611.77,27.656168,20020000000.0,387518000000.0,0.051662,mcap=2024-03-28;bs=2024-03-31
Eicher Motors,EICHERMOT.NS,FY2022-23,806963504060.99,27.416544,2884100000.0,191976400000.0,0.015023,mcap=2023-03-31;bs=2023-03-31
Eicher Motors,EICHERMOT.NS,FY2023-24,1100506982028.42,27.726792,4194400000.0,231279300000.0,0.018136,mcap=2024-03-28;bs=2024-03-31
Emami,EMAMILTD.NS,FY2022-23,158174327114.87,25.786964,905080000.0,31098520000.0,0.029104,mcap=2023-03-31;bs=2023-03-31
Emami,EMAMILTD.NS,FY2023-24,187411277664.18,25.956571,939559000.0,32797020000.0,0.028648,mcap=2024-03-28;bs=2024-03-31
Escorts Kubota,ESCORTS.NS,FY2022-23,245392816838.9,26.226126,573000000.0,100852300000.0,0.005682,mcap=2023-03-31;bs=2023-03-31
Escorts Kubota,ESCORTS.NS,FY2023-24,301175224801.31,26.430958,4484600000.0,124017200000.0,0.036161,mcap=2024-03-28;bs=2024-03-31
Federal Bank,FEDERALBNK.NS,FY2022-23,279973417677.03,26.35796,258619785000.0,2680040566000.0,0.096498,mcap=2023-03-31;bs=2023-03-31
Federal Bank,FEDERALBNK.NS,FY2023-24,365789853655.5,26.625325,223086197000.0,3178389465000.0,0.070188,mcap=2024-03-28;bs=2024-03-31
Godrej Consumer,GODREJCP.NS,FY2022-23,990122497089.85,27.621095,11295800000.0,174987700000.0,0.064552,mcap=2023-03-31;bs=2023-03-31
Godrej Consumer,GODREJCP.NS,FY2023-24,1280366537784.6,27.878168,32222100000.0,184958900000.0,0.174212,mcap=2024-03-28;bs=2024-03-31
Grasim Industries,GRASIM.NS,FY2022-23,1075022140731.5,27.703362,1030273700000.0,3372050300000.0,0.305533,mcap=2023-03-31;bs=2023-03-31
Grasim Industries,GRASIM.NS,FY2023-24,1551771039357.92,28.070418,1371439100000.0,4125390800000.0,0.332439,mcap=2024-03-28;bs=2024-03-31
HCL Technologies,HCLTECH.NS,FY2022-23,2938167804390.75,28.708807,47860000000.0,934110000000.0,0.051236,mcap=2023-03-31;bs=2023-03-31
HCL Technologies,HCLTECH.NS,FY2023-24,4179918894741.45,29.061313,57560000000.0,997770000000.0,0.057689,mcap=2024-03-28;bs=2024-03-31
HDFC Bank,HDFCBANK.NS,FY2022-23,8980875273654.68,29.826118,3151792800000.0,25755624000000.0,0.122373,mcap=2023-03-31;bs=2023-03-31
HDFC Bank,HDFCBANK.NS,FY2023-24,10999549707504.46,30.028875,8093552100000.0,44118573000000.0,0.18345,mcap=2024-03-28;bs=2024-03-31
HDFC Life,HDFCLIFE.NS,FY2022-23,1072709090192.76,27.701208,9500000000.0,2480692516000.0,0.00383,mcap=2023-03-31;bs=2023-03-31
HDFC Life,HDFCLIFE.NS,FY2023-24,1361958506471.45,27.939945,9500000000.0,3026869500000.0,0.003139,mcap=2024-03-28;bs=2024-03-31
Havells,HAVELLS.NS,FY2022-23,744556954153.0,27.336055,2231000000.0,111574400000.0,0.019996,mcap=2023-03-31;bs=2023-03-31
Havells,HAVELLS.NS,FY2023-24,949424790450.0,27.579122,3031600000.0,124326900000.0,0.024384,mcap=2024-03-28;bs=2024-03-31
Hero MotoCorp,HEROMOTOCO.NS,FY2022-23,469093781562.9,26.874069,5675400000.0,239170300000.0,0.02373,mcap=2023-03-31;bs=2023-03-31
